question_text,question_img_url,difficulty_level,explanation,explanation_img_url,chapter_id,question_choice_1,question_choice_2,question_choice_3,question_choice_4,question_choice_1_image_url,question_choice_2_image_url,question_choice_3_image_url,question_choice_4_image_url,correct_choice,,1,easy
"Atmospheric air is comprised, roughly, of 80% nitrogen and 20% oxygen. A 100 L sample of atmospheric air is kept at 300 K and 100 kPa. How many moles of oxygen molecules are found in this gas sample? (Use R = 10 (L⋅kPa)/(mol⋅K))",,moderate,"The law of partial pressures states that the volume of each gas in the mixture is proportional to the partial pressures of each gas in the mixture. Given atmospheric air is 20% oxygen, the partial pressure of oxygen in this sample is 20 kPa. Now use the ideal gas equation to find n. n=PV/RT, or n=100⋅20/10⋅300 = 2/3moles.",,49,4/5,2/3,3/2,1/5,,,,,2,,,
"Shown below are four mercury barometers of the same height (all four barometer tubes measure one meter from the tube opening to rounded top). Which barometer shows the greatest external pressure?",http://d15o1jx56rxevg.cloudfront.net/ecat/chemistry/c3_Gases/c3q15.PNG,moderate,"Explanation: Consider the difference in shapes between the different barometers. Given that the force
acting on the fluid in the barometer is $\mathrm{F}=\mathrm{mg}$. Where $\mathrm{m}$ is mass and $\mathrm{g}$ is acceleration due to gravity. We can derive it thus: $m=$ density. volume, so F=density $\times$ volume $\times$ g. Volume =area $\times$ height, so F=density $\times$ area height $\times$ g. We know that F/area $=$ pressure, so we can say that the change in pressure $=$ the change in height $\times$ density $\times$ g. since the change in height is greatest in option $A$ (length of the column of liquid rise $)$ so option $\mathrm{A}$ will experience greatest change in pressure.",,49,A,B,C,D,,,,,1,,,
The highest temperature at which a substance can exist as a liquid is called its:,,easy,"Critical temperature is the temperature of a gas in its critical state, above which it cannot be liquefied by pressure alone.",,49,critical temperature,standard temperature,absolute temperature,upper consulate temperature,,,,,1,,,
"According to kinetic molecule theory, energy of molecule increases when:",,moderate,"1. The space between gas molecules is much larger than the molecules themselves.
2. Gas molecules are in constant random motion.
3. The average kinetic energy is determined solely by the temperature. NOTE: This statement implies that all molecules have the same kinetic energy at a given temperature, regardless of their mass.
4. All collisions between gas molecules (and between the molecules and the walls of the container) are perfectly elastic. (No energy is lost because of the collision.)",,49,condensed into liquid,melted from solid to liquid,frozen into solid,mixed with other molecules at low temperature,,,,,2,,,
"Consider a real gas with a constant amount and a constant pressure. It has a temperature of $\mathrm{T}_{\circ}$ and a volume of $\mathrm{V}_{\circ}$ If you double the temperature, what will happen to the volume?",,difficult,"Charles's Law: $\mathrm{V}_{1} \mathrm{T}_{1}=\mathrm{V}_{2} \mathrm{T}_{2}$
Ideal Gas Law: PV=nRT $\rightarrow P V T=n R=c$ onstant
The question states that the pressure and moles (n) are held constant; therefore, the volume and temperature are directly proportional. If the question were asking about an ideal gas, the volume would double when you double the temperature
\[
V_{0} T_{0}=x 2 \quad\left(T_{0}\right) \rightarrow x=2 V_{0}
\]
The volume would double for an ideal gas; however, the question is asking about a real gas. To find the correct relationship between volume and temperature we need to look at the equation for real gas volume. Remember that the volume we are concerned with is the volume of the free space in the container, given by the container volume minus the volume of the gas particles. The equation for real gas volume accounts for the volume of the container and the volume of the gas particles. For a real gas, the volume is given as follows:
$V_{\text {REAL }}=V_{\text {CONTAINER }}-(n * b)$
In this equation, $n$ is the number of moles of gas particles and $b$ is the bigness coefficient. This equation implies that the volume of free space for a real gas is always less than the volume for an ideal gas; therefore, doubling the temperature will produce a volume that is less than the predicted volume for an ideal gas. Our answer, then, must be less than double the initial volume.
Note that for an ideal gas the bigness coefficient, $b$ b, would be zero and the volume of free space $\left(V_{\text {ideal}}\right)$ would be equal to the volume of the container $\left(V_{\text {container}}\right) .$ This occurs because the volume of the gas particles is negligible for an ideal gas.",,49,The volume will become greater than 2 V$_\circ$,The volume will become less than 2 $_\circ$,The volume will become 0.5 $_\circ$,The volume will become 2 $_\circ$,,,,,2,,,
Which of the following assumptions is not made by the ideal gas law?,,easy,Option C defines the Coulomb's law (not ideal gas assumptions). It states that: The magnitude of the electrostatic force of attraction or repulsion between two-point charges is directly proportional to the product of the magnitudes of charges and inversely proportional to the square of the distance between them. The force is along the straight line joining them. The rest of the assumptions are part of ideal gas assumptions.,,49,The molecules always obey Newton’s laws of motion,The size of the molecules is much smaller than the container,The intermolecular interactions follow the Coulomb model of electric repulsion,The van der Waals forces are negligible,,,,,3,,,
"The definition of ideal pressure for a real gas is given as follows:
\[
P_{\text {ideal}}=P_{\text {observed}}+a\left(\frac{n^{2}}{V^{2}}\right)
\]
The constant a signifies the attraction coefficient. This value is positive if the molecules attract each other and is negative if the molecules repel each other.

Which of the following would have a negative attraction coefficient, a, if found in the gaseous state?",,difficult,"The question wants you to pick a molecule that will have a negative attraction coefficient, a. The question states that the molecules that repel each other will have a negative a. Recall that similar charges repel each other; therefore, you are looking for an ionized molecule (molecule with a positive or negative charge). In a closed container, these molecules will be forced into contact with each other and generate repulsion forces.

Dichloromethane $\left(\mathrm{CH}_{2} \mathrm{Cl}_{2}\right)$ is a neutral molecule. This means that the dichloromethane molecules won't repel each other. Similarly, sodium chloride is a neutral molecule and will not experience repulsion. Oxygen, with an electron configuration of $1 \mathrm{s}^{2} 2 \mathrm{s}^{2} 2 \mathrm{p}^{4}$ is also a neutral molecule. If you look at the periodic table, the neutral state of oxygen occurs when there are six valence electrons. The outermost shell of oxygen in this electron configuration $(n=2)$ has a total of six electrons; therefore, the oxygen has six valence electrons and is neutral.
On the other hand, magnesium, with an electron configuration of $1 s^{2} 2 s^{2} 2 p^{6},$ is not neutral. Recall that a neutral magnesium atom has two valence electrons and an electron configuration of $1 \mathrm{s}^{2} 2 \mathrm{s}^{2} 2 \mathrm{p}^{6} 3 \mathrm{s}^{2}$ The magnesium atom in this question, however, has lost two electrons (from the 3s orbital) and became positively charged with a charge of $+2 ;$ therefore, the magnesium atoms are ionized, will repel each other, and will have a negative a.",,49,Magnesium with an electron configuration of $1s^2$$2s^2$$2p^6$,Sodium chloride,Dichloromethane,Oxygen with an electron configuration of $1s^2$$2s^2$$2p^2$,,,,,1,,,
Which of the following is false in cases of gases?,,easy,"One of the properties of gases is that they mix with each other. In gas mixtures, each component in the gas phase can be treated separately. Each component of the mixture shares the same temperature and volume. (Remember that gases expand to fill the volume of their container; gases in a mixture do that as well.)",,49,They diffuse easily,they do not mix well,they are highly compressible,they have mass,,,,,2,,,
Dalton's law of partial pressure is applicable to all the following mixtures except:,,moderate," According to Dalton's law of partial pressures, the total pressure by a mixture of gases isequal to the sum of the partial pressures of each of the constituent gases. The partial pressure is defined
as the pressure each gas would exert if it alone occupied the volume of the mixture at the same temperature. Dalton's law is not applicable on these two gases because when you mix HCl and $\mathrm{NH}_{3}$, they
react to form $\mathrm{NH}_{4} \mathrm{Cl}$ which is solid. As it reacts and form solid product it does not obey law of partial
pressure.",,49,nitrogen and hydrogen,oxygen and helium,argon and neon,hydrogen chloride and ammonia,,,,,4,,,
The partial pressure exerted by the water vapors is called:,,easy,"Surface tension is the tension of the surface film of a liquid caused by the attraction of the particles in the surface layer by the bulk of the liquid, which tends to minimize surface area.
\[
\begin{array}{l}
P_{\text {moist }}=P_{\text {DRY }}+P_{\text {VAPOR }} \\
P_{\text {DRY }}=P_{\text {MOIST }}-P_{\text {VAPOR }} \\
P_{\text {DRY }}=P_{\text {MOIST }}-\text { Aqueous tension }
\end{array}
\]",,49,surface tension,hydraulic pressure,vapor pressure,aqueous tension,,,,,1,,,
5 moles of nitrogen gas are present in 10 L container at $30^\circ$C. What is the pressure of the container?,,moderate,Using the ideal gas law equation we can find that P= nRT/V. We then plug in the given values. Solving for P gives us 12.4atm. Note: $30^\circ$C must be converted into Kelvin by adding 273K,,49,9 atm,17.2 atm,5 atm,12.4 atm,,,,,4,,,
"A balloon filled with one mole of an ideal gas is leaking molecules at a constant rate of 0.01mol/hr. After 75 hours, the pressure is half of the initial pressure. What is the new volume in terms of the initial volume, Vi?",,difficult,"We can use the given values to determine how many moles of the gas have leaked out after 75 hours. $0.01 \mathrm{mol} / \mathrm{hr} * 75 \mathrm{hr}=0.75 \mathrm{mol} .$ We now know that the balloon started with one mole, and that 0.75 moles have leaked. This means that 0.25 moles remain in the balloon. We now have our initial and final mole values and pressure values. We can rearrange the ideal gas law to isolate the variables we need, if the temperature is constant.
Using our proportions, we can try to solve for the final volume. For simplicity, assume the initial pressure is 1 and the final pressure is 0.5
$(1) \vee 1_{1}=(0.5) \vee_{2} / 0.25$
$\mathrm{V} 1=2 \mathrm{V} 2 \rightarrow \mathrm{V} 2=1 / 2 \mathrm{V} 1$",,49,¼ Vi,½ Vi,1/5 Vi,1/3 Vi,,,,,2,,,
"At constant temperature the pressure of an ideal gas is doubled, its density becomes:",,easy,"As density is inversely proportional to temperature, if the temperature is doubled the density becomes half.",,49,half,double,same none,none,,,,,1,,,
The spreading of fragrance or scent in air is due to:,,easy,The spreading of fragrance is due to the movement of particles from higher concentration to lower concentration in air which defines diffusion.,,49,diffusion,effusion,low density,attraction with air,,,,,1,,,
According to kinetic molecular theory the kinetic energy of gas molecules varies directly with:,,moderate,Kinetic Molecular Theory states that gas particles are in constant motion and exhibit perfectly elastic collisions. Kinetic Molecular Theory can be used to explain both Charles' and Boyle's Laws. The average kinetic energy of a collection of gas particles is directly proportional to absolute temperature only.,,49,pressure,volume,density,absolute temperature,,,,,4,,,
Which of the following sets of conditions would be LEAST likely to result in ideal gas behavior?,,moderate,"Gases deviate from ideal behavior at higher pressures and lower volumes and temperatures, all which force molecules closer together. The closer they are, the more they can participate in intermolecular forces, which violates the definition of an ideal gas. At extremely high pressures, low volumes, and low temperatures, the size of the gas particles becomes significant, which also violates the definition of an ideal gas.",,49,High pressure and low temperature,low temperature analogic volume,high pressure and large volume,hello pressure and high temperature,,,,,1,,,
A leak of helium gas through a small hole occurs at a rate of $3.22 \times 10^{-5} \frac{\mathrm{mol}}{\mathrm{s}}$. How will the leakage rates of neon and oxygen gases compare to helium at the same temperature and pressure?,,difficult,"Graham's law of effusion states that the relative rates of effusion of two gases at the same temperature and pressure are given by the inverse ratio of the square roots of the masses of the gas particles. In other words, a gas with a higher molar mass will leak more slowly than a gas with a lower molar mass. Both neon and oxygen gases will leak at slower rates than helium because they both have more mass more than helium.",,49,Neon will leak faster than helium; oxygen will leak faster than helium,neon will leak faster than helium; oxygen will leak slower than helium,neon will leak slower than helium; oxygen will leak faster than helium,neon will leak slower than helium; oxygen will leak slower than helium,,,,,4,,,
"The plots of two gases at STP are shown below. One of the gases is 1.0 L of helium, and the other is 1.0 L of bromine. Which plot corresponds to each gas and why?",http://d15o1jx56rxevg.cloudfront.net/ecat/chemistry/c3_Gases/c3q31.PNG,difficult,"At STP, the difference between the distribution of speeds for helium and bromine gas is due to the difference in molar mass. Helium has a smaller molar mass than bromine. Particles with small masses travel faster than those with large masses, so the helium gas corresponds to curve B, which has a higher average speed. Because the gases are at the same temperature (273 K), they have the same average kinetic energy, eliminating choices (B) and (D).",,49,Curve A is helium and curve B is bromine because helium has a smaller molar mass than bromine.,Curve A is helium and curve B is bromine because the average kinetic energy of bromine is greater than the average kinetic energy of helium.,Curve A is bromine and curve B is helium because helium has a smaller molar mass than bromine.,Curve A is bromine and curve B is helium because the average kinetic energy of bromine is greater than the average kinetic energy of helium.,,,,,3,,,
A balloon at standard temperature and pressure contains 0.20 moles of oxygen and 0.60 moles of nitrogen. What is the partial pressure of oxygen in the balloon?,,difficult,"At STP, the pressure inside the balloon equals 1 atm. The total number of moles in the balloon equals
0.20 moles plus 0.60 moles, or 0.80 moles. ${P_{0}}_2$ equals the mole fraction of oxygen $\left(\frac{0.20}{0.80}\right)$ times the total pressure, 1 atm. The partial pressure of oxygen is therefore 0.25 atm.",,49,0.20 atm,0.25 atm,0.33 atm,0.80 atm,,,,,2,,,
In which of the following situations is it impossible to predict how the pressure will change for a gas sample?,,moderate,"Both a change in temperature and a change in volume can affect a gas's pressure. So, if one of those two variables are kept constant, as in choices (A) and (B), we'll definitely be able to predict which way the pressure will change. At a constant volume, heating the gas will increase its pressure, and cooling the gas will decrease it. What about when both temperature and volume are changing? If both changes have the same effect on pressure, then we can still predict which way it will change. This is the case in choice (D). Cooling the gas and increasing its volume both decrease pressure. Choice (C), on the other hand, presents too vague a scenario for us to predict definitively the change in pressure. Heating the gas would amplify the pressure, while increasing the volume would decrease it. Without knowing the magnitude of each influence, it's impossible to say whether the pressure would increase, decrease, or stay the same.",,49,The gas is cooled at a constant volume,The gas is heated at a constant volume,"The gas is heated, and the volume is simultaneously increased","The gas is cooled, and the volume is simultaneously increased",,,,,3,,,
"Experimenters notice that the molar concentration of dissolved oxygen in an enclosed water tank has decreased to one-half its original value. To counter this decrease, they quadruple the partial pressure of oxygen in the container. What is the final concentration of the gas?",,difficult,"Initially the concentration of the gas is decreased to one-half its original value. Recall that concentration (solubility) and partial pressure are directly related as one increase, the other increases. If the experimenters then quadruple the partial pressure of oxygen in the vessel, the solubility is also increased by a factor of four. One-half times four gives twice the original concentration value. Misreading the answer choices as being related to the concentration before the experimenters increased the partial pressure leads to choice (D).",,49,Half the original concentration,The same as the original concentration,Double the original concentration,Quadruple the original concentration,,,,,3,,,
"A gas at a temperature of $27^{\circ} \mathrm{C}$ has a volume of $60.0 \mathrm{mL}$. What temperature change is needed to
increase this gas to a volume of $90.0 \mathrm{mL}$ ?",,moderate,"IWe will use Charles's law. First, we must convert the temperature to kelvins by adding 273 to get 300 K as the initial temperature. Think of this as a proportionality: If the volume is multiplied by $\frac{3}{2}$, the temperature will also have to be multiplied by $\frac{3}{2}$ . Thus the final temperature is $450 \mathrm{K}$, which represents
a $150 \mathrm{K}$ increase.",,49,A reduction of $150^\circ$C,An increase of $150^\circ$C,A reduction of $40.5^\circ$°C,An increase of $40.5^\circ$°C,,,,,2,,,
All the metal shines when they are fully cut. The reason is:,,moderate,Metals are shiny because they have a lot of free (i.e. delocalized) electrons that form a cloud of highly mobile negatively charged electrons on and beneath the smooth metal surface in the ideal case.,,50,the conductivity of metal is increased,the process of cutting gives energy to the metal atoms,the electrons are excited at higher energy levels and emit the photons when they fall back,the electrons become less delocalized according to the valence bond theory,,,,,3,,,
The phenomenon in which a compound exists in two or more crystalline forms is called:,,easy,"Polymorphism is the ability of an object to take on many forms. The most common use of polymorphism in OOP (object-oriented programming) occurs when a parent class reference is used to refer to a child class object. 
Supplementary info: Whereas allotropy is the existence of two or more different physical forms of a chemical element. Anisotropy is the property of substances to exhibit variations in physical properties along different molecular axes. It is seen in crystals, liquid crystals and, less commonly, in liquids. Isomorphism is the existence of two or more substances that have the same crystal structure, so that they form solid solutions.",,50,Isomorphism,Anisotropy,Polymorphism,allotropy,,,,,3,,,
Which solids are called true solids?,,easy,"Crystalline solids, or crystals, are regarded as ""true solids."" Minerals are crystalline solids. Common table salt is one example of this kind of solid. In crystalline solids, the atoms, ions or molecules are arranged in an ordered and symmetrical pattern that is repeated over the entire crystal",,50,Metallic,amorphous,crystalline,Vitreous,,,,,3,,,
Bucky balls is an allotropic from of:,,moderate,"A Buckyball is a molecule called Buckminsterfullerene. Composed of 60 carbon atoms formed in the shape of a hollow ball, Buckyballs have, yet, little practical use, although they do is make up nanotubes, which have some uses.",,50,Sulphur,Carbon,Silica,Tin,,,,,2,,,
Which one is false for evaporation?,,moderate,evaporation is an endothermic process because the atoms gain energy to change from liquid to vapors. All the other statements are correct for evaporation.,,50,surface phenomenon,continues,exothermic,cause cooling,,,,,3,,,
Table salt crystallizes with a:,,moderate,NaCl has a cubic unit cell. It is best thought of as a face-centered cubic array of anions with an interpenetrating FCC cation lattice (or vice-versa). The cell looks the same whether you start with anions or cations on the corners. Each ion is 6-coordinate and has a local octahedral geometry.,http://d15o1jx56rxevg.cloudfront.net/ecat/chemistry/c4_Liquids_and_solids/c4e5.PNG,50,face centered cubic lattice,body centered cubic lattice,simple cubic lattice,orthorhombic lattice,,,,,3,,,
The number amino acid units for each turn of helix on average are:,,moderate,"Alpha helices have 3.6 amino acid residues per turn, i.e. a helix 36 amino acids long would form 10 turns. The separation of residues along the helix axis is 5.4/3.6 or 1.5 Angstroms, i.e. the alpha-helix has a rise per residue of 1.5 Angstroms. Where a residue is a single molecular unit within a polymer. Residue is thus another term for monomer. (fact)",http://d15o1jx56rxevg.cloudfront.net/ecat/chemistry/c4_Liquids_and_solids/c4e6.PNG,50,2.5,3,1.4,3.6,,,,,4,,,
If a physical and chemical change takes place at a constant pressure then the heat change during the process is called:,,moderate,"At constant pressure, the change in enthalpy is simply equal to the heat released/absorbed by the reaction. Due to this relation, the change in enthalpy is often referred to simply as the “heat of reaction.”",,50,heat of transition,heat of Fusion,enthalpy change,all the above,,,,,3,,,
The pressure during the molar heat of fusion is kept,,moderate,(1atm) As stated above. (fact),,50,0 atm,1 atm,2 atm,10 atm,,,,,2,,,
The amount of heat absorbed when one mole of a liquid is changed into gas at its boiling point is:,,easy,Molar heat of vaporization is the heat absorbed when a liquid vaporizes specifically: the quantity of heat required at a specified temperature to convert unit mass of liquid into vapor.,,50,Molar heat of sublimation,Molar heat of Fusion,Molar heat of vaporization,Latent heat of that liquid,,,,,3,,,
Which has strongest bonding in the solid state?,,difficult,"Sodium chloride has a giant ionic lattice. The strong forces or attraction between the two oppositely charged ions will hold them close together, forming the ionic bond. Whereas HCl and chlorine gas form covalent bonds (Simple molecule structures easier to break than strong lattice ionic structures).and Xenon is a Noble gas (Noble gas do not form bonds due its stable electronic configuration).",,50,Hydrogen chloride,Chlorine gas,Xenon gas,Sodium chloride,,,,,4,,,
Which substance show anisotropic behavior in electrical conductivity?,,difficult,"When the properties of a material vary with different crystallographic orientations, the material is said to be anisotropic. Alternately, when the properties of a material are the same in all directions, the material is said to be isotropic. Graphite being a good conductor of electricity shows anisotropic behavior in this way since all other forms of carbon do not show electrical conductivity. Its structure is the main reason for this property. Each carbon atom in graphite is directly linked to only three carbon atoms through covalent bonds. These free electrons make graphite a good conductor of electricity and a good lubricant.",,50,Diamond,ice,graphite,KCl,,,,,3,,,
Which one of the following has highest volatility?,,moderate,Diethyl Ether has no hydrogen bonding therefore it has the least strength of Inter molecular forces compared to the rest of the compounds.,,50,Di ethyl ether,Ethyl alcohol,Water,Ethylene glycol,,,,,1,,,
Water has maximum density at:,,moderate,"The maximum density of water occurs at $4^\circ$C because, at this temperature two opposing effects are in balance. In ice, the water molecules are in a crystal lattice that has a lot of empty space.",,50,zero degrees Celsius,2 degrees Celsius,4 degrees Celsius,100 degrees Celsius,,,,,2,,,
Which of the following contains ionic bonds?,,moderate,Copper is a metal and contains metallic bonding. whereas graphite and diamond are macromolecules and undergo covalent bonding.,,50,Copper,Graphite,Diamond,Sodium chloride,,,,,4,,,
Hydrogen bonding is extensively present in proteins forming a spiral. The hydrogen bond being produced is between,,moderate,"In the secondary structure of proteins, hydrogen bonds form between the backbone oxygens and amide hydrogens. When the spacing of the amino acid residues participating in a hydrogen bond occurs regularly between positions i and i + 4, an alpha helix is formed.",http://d15o1jx56rxevg.cloudfront.net/ecat/chemistry/c4_Liquids_and_solids/c4e14.PNG,50,nitrogen and hydrogen Atom,carbon and hydrogen Atom,oxygen and hydrogen Atom,all of these,,,,,3,,,
isomorphic substances have:,,moderate,"Isomorphism of minerals, is the similarity of crystal structure between two or more distinct substances. Sodium nitrate and calcium sulfate are isomorphous, as are the sulfates of barium, strontium, and lead. Crystals of isomorphous substances are almost identical. Due to having similar crystal structures they have different physical properties but same chemical properties",,50,different physical and chemical properties,different physical and same chemical properties,same chemical and same physical properties,same physical and different chemical properties,,,,,2,,,
Ice floats over water because:,,moderate,"Ice floats on water because it is less dense than water. When water freezes into its solid form, its molecules can form more stable hydrogen bonds locking them into positions.",,50,its structure is diamond like,its density is maximum at four degrees Celsius,it is less dense than water,it has no regular arrangement of molecules,,,,,3,,,
Liquid crystal is discovered by:,,easy,Liquid crystal is a substance which flows like a liquid but has some degree of ordering in the arrangement of its molecules. Liquid crystals were accidentally discovered in 1888 by Austrian botanist Friedrich Reinitzer while he studied cholesteryl benzoate of carrots.,,50,William Crooks,Fredrack Reintizer,J.J Thomson,Bravis,,,,,2,,,
