question_text,question_img_url,difficulty_level,explanation,explanation_img_url,chapter_id,question_choice_1,question_choice_2,question_choice_3,question_choice_4,question_choice_1_image_url,question_choice_2_image_url,question_choice_3_image_url,question_choice_4_image_url,correct_choice,,,,easy,1
"Choose the word that is most nearly OPPOSITE in meaning to:
Deleterious",,easy,,,107,"Abundant
","Saddening",Heartening,Aiding,,,,,4,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Demean",,easy,,,107,Obliterate,Hoard,Hire,Boost,,,,,4,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Bashful",,moderate,,,107,Consumed,"Fortified",Abundant,Aggressive,,,,,4,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Denigrate",,easy,,,107,Cherish,"Consume","Fraud",Harbour,,,,,1,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Denounce",,easy,,,107,Approve,"Onerous
",Burdensome,Rakish,,,,,1,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Depravity",,easy,,,107,Succinct,"Terse",Hire,Morality,,,,,4,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Derelict",,easy,,,107,Careful,"Harmful","Innocuous",Controllable,,,,,1,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Deride",,easy,,,107,Commend,"Hasten",Depose,Hope,,,,,1,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Derivative",,moderate,,,107,Cognate,"Unique",Oblige,Remote,,,,,4,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Contaminate",,easy,,,107,Sanctify,"Capture",Prepare,Propose,,,,,1,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Parch",,easy,,,107,Wet,Parish,Clueless,Igneous,,,,,1,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Desolate",,moderate,,,107,"Crossed
","Pullover","Obsequious",Cultivated,,,,,4,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Deter",,easy,,,107,contempt,"Jaunty
","daunt",encourage,,,,,4,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Devious",,easy,,,107,Artless,"Insipid
","Include
",Vernacular,,,,,1,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Diaphanous",,easy,,,107,Opaque,"Complete
","Install
",Keep,,,,,1,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Diffident",,moderate,,,107,Bold,"Fraught",Divided,Tempered,,,,,1,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Diffuse",,easy,,,107,"Compact
","Adhere
","Compete
",Herd,,,,,1,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Dilatory",,moderate,,,107,Skeptic,Confluent,Congruous,Diligent,,,,,4,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Discrepancy",,easy,,,107,"Convenient
",Convivial,Joyous,Agreement,,,,,4,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Discretion",,easy,,,107,Carelessness,Awful,Deceit,Verdict,,,,,1,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Disdain",,easy,,,107,Disgruntle,"Throttle
","Jejune
",Admiration,,,,,4,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
unhappy",,easy,,,107,Piqued,"Equipped",Obtain,Grouchy,,,,,4,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Dishearten",,easy,,,107,"Vague
","Love
","Taut
",Inspirit,,,,,4,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Ecstatic",,easy,,,107,Jubilant,"Conjoined
","Heartened
",Sorrowful,,,,,4,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Effervescent",,hard,,,107,Honourable,Skillful,flat,artless,,,,,3,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Ebullient",,hard,,,107,Inactive,Upbeat,Cardinal,Corrosive,,,,,1,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Productive",,hard,,,107,Capable,"Collide
","Inefficient
",Probable,,,,,3,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Egregious",,moderate,,,107,Customized,"Talkative
","Minor
",Brilliant,,,,,3,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Elicit",,easy,,,107,Hopeless,"Consumed",Remorseful,Suppressed,,,,,4,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Eloquent",,easy,,,107,Dull,Frightful,"Compact",Condescending,,,,,1,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Circumvent",,moderate,,,107,Audacious,Bold,Confront,Affront,,,,,3,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Embellish",,moderate,,,107,Deface,"Debase",Deprive,Delete,,,,,1,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Embezzle",,moderate,,,107,Compensate,Condense,Consider,Coerce,,,,,1,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Amend",,easy,,,107,Invoke,Oblige,"Compete",Mistake,,,,,4,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Celebrated",,easy,,,107,Inferior,"Horror",Console,Crept,,,,,1,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Affinity",,easy,,,107,Goals,"Sympathy",Connected,Apathy,,,,,4,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Empirical",,easy,,,107,Candid,"Theoretical",Theatrical,Complete,,,,,2,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Encumber",,moderate,,,107,Assist,Condemn,"Coalesce
",Contain,,,,,1,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Enigmatic",,moderate,,,107,Torrential,"Demean",Clear,Arouse,,,,,3,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Enthrall",,moderate,,,107,Weary,"Heartening",Presumption,Bore,,,,,4,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Dubious",,easy,,,107,Obvious,"Probable","Compatible
",Satiable,,,,,1,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Savvy",,moderate,,,107,Rigid,"Common",Corrosive,King,,,,,2,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Eschew",,moderate,,,107,Embrace,"Avoid","Kill
",Give,,,,,1,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Abandon",,easy,,,107,Embrace,"Delete",Derail,Twill,,,,,1,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Esoteric",,moderate,,,107,Ambiguous,Quiet,"Elegant
",Obvious,,,,,4,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Betroth",,easy,,,107,Founded,"Confounded","Divine
",Divorce,,,,,4,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Ethereal",,easy,,,107,Heavenly,"Sacred","Encourage
",Earthly,,,,,4,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Exacerbate",,easy,,,107,Soothe,Fall,Condone,Assist,,,,,1,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Aggravate",,moderate,,,107,Placate,"Promise",Aggrandize,Deprive,,,,,1,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Hollow",,easy,,,107,Fill,"Provide",Help,Cover,,,,,1,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Exculpate",,moderate,,,107,Misgiving,"Blame",Confront,Contrite,,,,,3,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Exorbitant",,easy,,,107,Cheap,"Enthrall",Satisfy,Guess,,,,,1,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Exonerate",,easy,,,107,Compete,"Cooperate",Incarcerate,Candid,,,,,1,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Abolish",,easy,,,107,Inappropriate,Expedient,Destroy,Build,,,,,4,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Extant",,easy,,,107,Exist,Comprehend,Compass,Extinct,,,,,4,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Acclaim",,easy,,,107,Critcize,"Console",Equate,Conceive,,,,,1,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Extraneous",,moderate,,,107,Pertinent,Providence,Pride,Perfidy,,,,,4,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Foreign",,easy,,,107,National,Contest,Equal,Confound,,,,,1,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Entangle",,easy,,,107,Fear,"Clear",Console,Extricate,,,,,4,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Exult",,hard,,,107,Joy,"Mourn",Mount,Messy,,,,,2,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Fabricate",,moderate,,,107,Demolish,Compete,Condemn,Quell,,,,,1,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Facile",,moderate,,,107,Arduous,"Incompetent",Inhibition,Instill,,,,,1,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Fallacious",,easy,,,107,Ineptitude,"Truthful",Skeptical,Fictious,,,,,2,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Meticulous",,moderate,,,107,Careful,"Cautious",Fecund,Uncouth,,,,,4,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Fecundity",,moderate,,,107,Impotent,"Appropriate",Applicable,Impotent,,,,,4,,,,,
"Choose the word that is most nearly OPPOSITE in meaning to:
Felicitous",,hard,,,107,Suitable,Corroborative,Inappropriate,Comply,,,,,3,,,,,
"Choose the word that is most nearly SIMILAR in meaning to the word in capital letters.
FINICKY",,easy,"Finicky means an overly particular person, most closely relates with “fussy”.	",,107,fussy,"meticulous",remarkable,unstable,,,,,1,,,,,
"Choose the word that is most nearly SIMILAR in meaning to the word in capital letters.
SALACIOUS",,hard,,,107,healthy,obscene,resolute                                         ,comical,,,,,2,,,,,
"Choose the word that is most nearly SIMILAR in meaning to the word in capital letters.
CURMUDGEON",,hard,,,107,boisterous    ,habitual,shocking,"ill-tempered",,,,,4,,,,,
"Choose the word that is most nearly SIMILAR in meaning to the word in capital letters.
RECONDITE",,hard,,,107,esoteric                    ,cunning,exacting                                        ,worrying,,,,,1,,,,,
"Choose the word that is most nearly SIMILAR in meaning to the word in capital letters.
ELUSIVE",,hard,,,107,arcane,"mundane",truthful                                       ,evasive,,,,,1,,,,,
"Choose the word that is most nearly SIMILAR in meaning to the word in capital letters.
CAPTIOUS",,moderate,,,107,undermine     ,"determined",critical,deceitful,,,,,3,,,,,
"Choose the word that is most nearly SIMILAR in meaning to the word in capital letters.
MELODY",,easy,,,107,"interruption               
",jingle,vicinity                       ,virtual,,,,,2,,,,,
"Choose the word that is most nearly SIMILAR in meaning to the word in capital letters.
ARCHAIC",,moderate,,,107, advanced,adventurous,anachronistic,abate,,,,,3,,,,,
"Choose the word that is most nearly SIMILAR in meaning to the word in capital letters.
MITIGATE",,easy,,,107,alleviate      ,obsolete,vengeful,wisdom,,,,,1,,,,,
"Choose the word that is most nearly SIMILAR in meaning to the word in capital letters.
ALACRITY",,moderate,,,107,occurrence,contempt,align                                               ,keenness,,,,,4,,,,,
"Choose the word that is most nearly SIMILAR in meaning to the word in capital letters.
PROSAIC",,moderate,,,107,artistic ,"mosaic",creative                                   ,unimaginative,,,,,4,,,,,
"Choose the word that is most nearly SIMILAR in meaning to the word in capital letters.
ARDOUR",,hard,,,107,candid         ,authenticity,mendacious                                ,passion,,,,,4,,,,,
"Choose the word that is most nearly SIMILAR in meaning to the word in capital letters.
ECSTATIC",,easy,,,107,stationary   ,"moving",excited                                       ,ordinary,,,,,3,,,,,
"Choose the word that is most nearly SIMILAR in meaning to the word in capital letters.
CANDOUR",,easy,,,107, aesthetic   ,"frankness",elegance,morbid,,,,,3,,,,,
"Choose the word that is most nearly SIMILAR in meaning to the word in capital letters.
VERACITY",,hard,,,107,honesty       ,apprehension,acclaim                                    ,disavow,,,,,1,,,,,
"Choose the word that is most nearly SIMILAR in meaning to the word in capital letters.
APPALLING",,easy,,,107,terrible ,"cheerful",misgivings                                    misgivings                                    ,censure,,,,,1,,,,,
"Choose the word that is most nearly SIMILAR in meaning to the word in capital letters.
HONOURABLE
",,easy,,,107,paucity           ,absolute,appealing,venerable,,,,,4,,,,,
"Choose the word that is most nearly SIMILAR in meaning to the word in capital letters.
VIVACIOUS",,easy,,,107,bendable ,"lively",emotional                                       ,beautiful,,,,,2,,,,,
"Choose the word that is most nearly SIMILAR in meaning to the word in capital letters.
GARISH",,hard,,,107, loud,"talkative",bright                                    ,aggressive,,,,,3,,,,,
"Choose the word that is most nearly SIMILAR in meaning to the word in capital letters.
AGGRANDIZE",,hard,,,107,canonize,"relief ",polarize                                       ,humiliate,,,,,1,,,,,
"Choose the word that is most nearly SIMILAR in meaning to the word in capital letters.
FECUNDITY",,moderate,,,107,bright,"energetic",slow,fertility,,,,,4,,,,,
"Choose the word that is most nearly SIMILAR in meaning to the word in capital letters.
FASTIDIOUS",,hard,,,107,fortitude,"fervor",attentive                                    ,optimism,,,,,3,,,,,
"Choose the word that is most nearly SIMILAR in meaning to the word in capital letters.
SAGACITY",,hard,,,107,promising      ,"intelligence",hope                                            ,inhibition,,,,,2,,,,,
"Choose the word that is most nearly SIMILAR in meaning to the word in capital letters.
VENTURE",,easy,,,107,set forth  ,"correct",ease                                           ,insight,,,,,1,,,,,
"Choose the word that is most nearly SIMILAR in meaning to the word in capital letters.
PROXIMITY",,easy,,,107,gratitude,indent,incline                                     ,closeness,,,,,4,,,,,
"Choose the word that is most nearly SIMILAR in meaning to the word in capital letters.
OPINE",,easy,,,107,suggest ,"cry",moderate                                  ,imitate,,,,,1,,,,,
"Choose the word that is most nearly SIMILAR in meaning to the word in capital letters.
PENCHANT",,hard,,,107,exist  ,"celestial",trick                                      ,liking,,,,,4,,,,,
"Choose the word that is most nearly SIMILAR in meaning to the word in capital letters.
DIFFUSE",,easy,,,107,spread,"chemical",entrust                                   ,deceive ,,,,,1,,,,,
"Choose the word that is most nearly SIMILAR in meaning to the word in capital letters.
ENGENDER",,easy,,,107,admit,"cause",dangerous                                ,break,,,,,2,,,,,
"Choose the word that is most nearly SIMILAR in meaning to the word in capital letters.
PROLIX",,moderate,,,107,verbose,"short",Burdensome,faith,,,,,1,,,,,
"Choose the word that is most nearly SIMILAR in meaning to the word in capital letters.
PROLONGE ",,easy,,,107,protract          ,"contract",harness                                    ,assume,,,,,1,,,,,
"Choose the word that is most nearly SIMILAR in meaning to the word in capital letters.
ANTITHETICAL",,moderate,,,107,opposite     ,climax,antipathy                                    ,anger,,,,,1,,,,,
"Choose the word that is most nearly SIMILAR in meaning to the word in capital letters.
IMPULSIVE",,easy,,,107,impetuous         ,"downpour",dependable,craven,,,,,1,,,,,
"Choose the word that is most nearly SIMILAR in meaning to the word in capital letters.
UNCANNY",,easy,,,107,eerie,"familiar
",cunning                                     ,dilettante,,,,,1,,,,,
"Choose the word that is most nearly SIMILAR in meaning to the word in capital letters.
CHICANERY",,hard,,,107,subterfuge,"prelude",cajole                                            ,perverse,,,,,1,,,,,
"Choose the word that is most nearly SIMILAR in meaning to the word in capital letters.
HARBINGER",,hard,,,107,"eat        
","duplicity",signal                                 ,,,,,,3,,,,,
"Choose the word that is most nearly SIMILAR in meaning to the word in capital letters.
Anomaly",,easy,,,107,odd,boring,extravagance,normal,,,,,3,,,,,
"Choose the word that is most nearly SIMILAR in meaning to the word in capital letters.
DETRIMENTAL",,easy,,,107,dirty,subtle,difficult,harmful,,,,,4,,,,,
