question_text,question_img_url,difficulty_level,explanation,explanation_img_url,chapter_id,question_choice_1,question_choice_2,question_choice_3,question_choice_4,question_choice_1_image_url,question_choice_2_image_url,question_choice_3_image_url,question_choice_4_image_url,correct_choice,,,,,,,
For which angle between F and v maximum acceleration/ retardation can be produced in a moving object?,,moderate,"In order to produce maximum acceleration F and v must be parallel so the angle between them becomes zero. For maximum retardation F and v must be antiparallel that is 180 degree apart
",https://d15o1jx56rxevg.cloudfront.net/ecat/physics/p3_Motion_and_force/p3e26.PNG,28,0,270,180,Both A and C,,,,,4,,,,,,,
What will be the impulse if a force of 3N acting on a body for 5 sec?,,moderate,"We know that
Impulse $=\mathrm{F} \times \mathrm{t}$
$=5 \times 3=15 \mathrm{Ns}$
Also $\mathrm{Ns}=\mathrm{kgm} / \mathrm{s}$",,28,10Ns,15Ns,15 \mathrm{kgms}^{-1},Both B and C,,,,,4,,,,,,,
A force of 2000N acts on a body of mass 20kg such that it’s velocity changes from initial to final velocity in 10sec then the rate of change of momentum be,,difficult,"We know that
$\mathrm{F} \mathrm{x} \mathrm{t}=\mathrm{mv}_{\mathrm{f}}-\mathrm{mv}_{\mathrm{i}}=$ change in momentum
Rate of change in momentum $=\left(\mathrm{mv}_{\mathrm{f}}-\mathrm{mv}_{\mathrm{i}}\right) / \mathrm{t}$
Rate of Change in momentum $=\mathrm{F}=\left(\mathrm{mv}_{\mathrm{f}}-\mathrm{mv}_{\mathrm{i}}\right) / \mathrm{t}$",,28,2000N,2100N,1800N,None of these,,,,,1,,,,,,,
The slope of graph between distance and time give,,moderate,"Slope = change in y axis/ change in $\mathrm{x}$ axis
Slope $=\Delta \mathrm{d} / \Delta \mathrm{t}=\mathrm{v}$",,28,acceleration,Momentum,Velocity,None  ,,,,,4,,,,,,,
Which of the following velocity time graph represents constant acceleration?,,difficult," In the graph of option a the acceleration is positive and constant
In the graph of option b the acceleration is zero and constant
In the graph of option c the acceleration is negative and constan
",,28,,,,All of these,http://d15o1jx56rxevg.cloudfront.net/ecat/physics/p3_Motion_and_force/p3q30.1.PNG,http://d15o1jx56rxevg.cloudfront.net/ecat/physics/p3_Motion_and_force/p3q30.2.PNG,http://d15o1jx56rxevg.cloudfront.net/ecat/physics/p3_Motion_and_force/p3q30.3.PNG,,4,,,,,,,
The rate of change of momentum for a freely falling object is,,moderate,"We know that
\[
\mathrm{F} \times \mathrm{t}=\mathrm{mv}_{\mathrm{f}}-\mathrm{mv}_{\mathrm{i}}=\text { change in momentum }
\]
Rate of Change in momentum $=\mathrm{F}=\left(\mathrm{mv}_{\mathrm{f}}-\mathrm{mv}_{\mathrm{i}}\right) / \mathrm{t}$
We know that
\[
\mathrm{F}=\mathrm{ma}
\]
For freely falling body
$\mathrm{F}=\mathrm{mg}=$ weight",,28,equal to weight,greater than weight,less than weight,None  ,,,,,1,,,,,,,
SI unit of momentum is same as that of,,moderate,"Impulse is the change in momentum
$\mathrm{mv}_{\mathrm{f}}-\mathrm{mv}_{\mathrm{i}}=$ change in momentum $=$ Impulse $=\mathrm{kgm} / \mathrm{s}$
momentum $=\mathrm{mv}=\mathrm{kgm} / \mathrm{s}$",,28,Force,Impulse,Time,Torque,,,,,2,,,,,,,
Rocket propulsion can be explained by law of conservation of,,easy," Momentum is conserved in rocket propulsion
Law of conservation of momentum states that the total momentum of a system always remain constant.",,28,Energy,Momentum,Force,both A and B,,,,,2,,,,,,,
The relation between KE and momentum is,,difficult,"We know that,
\[
\mathrm{KE}=(1 / 2) \mathrm{mv}^{2}
\]
$\mathrm{KE}$ is the Kinetic energy
$P=m v$
$P$ is the momentum
$\mathrm{KE}=(1 / 2) \mathrm{mv} \mathrm{v}$
$\mathrm{KE}=(1 / 2) \mathrm{pv}$
Also
$\mathrm{KE}=(1 / 2) \mathrm{p}^{2} \mathrm{m}$
$\mathrm{P}=\sqrt{2} \mathrm{mE}$
And
$\mathrm{E}=\mathrm{P}^{2} / 2 \mathrm{m}$",,28,\mathrm{P}=\sqrt{(} 2 \mathrm{mE}),\mathrm{E}=\sqrt{(} 2 \mathrm{mP}),\mathrm{E}=\mathrm{P}^{2} / 2 \mathrm{m},Both A and C,,,,,4,,,,,,,
What \% of rocket mass comprises of fuel?,,easy,Information,,28,20 \%,50 \%,40 \%,80 \%,,,,,4,,,,,,,
Two balls of same masses collide elastically then,,moderate,"From the equations
\[
\begin{array}{l}
v_{1}^{\prime}=(m 1-m 2) v 1 /(m 1+m 2)+2 m 2 v 2 /(m 1+m 2) \\
v_{2}^{\prime}=(2 m 2) v 1 /(m 1+m 2)+(m 2-m 1) v 2 /(m 1+m 2)
\end{array}
\]
by putting $\mathrm{m} 1=\mathrm{m} 2$ in the above equation we come up with
$v_{2}^{\prime}=v_{1}$
$v_{1}^{\prime}=v_{2}$",,28,\mathrm{v}_{1}^{\prime}=\mathrm{v}_{2},v_{2}^{\prime}=v_{1},\mathrm{v}_{1}^{\prime}=\mathrm{v}_{2},Both A and B,,,,,4,,,,,,,
During an elastic collision,,easy,"In an elastic collision velocity of separation is equal to velocity of approach.
As in elastic collision the kinetic energy and momentum remain conserved. So
$v_{1}-v_{2}=v e l_{0} \operatorname{city}$ of approach
$-v_{1}+v_{2}=v e l o c i t y$ of separation
also
$\left(\mathrm{v}_{1}, \mathrm{v}_{2}\right)=\left(-\mathrm{v}_{1}+\mathrm{v}_{2}\right)$
$\left(v_{1}+v_{1}\right)=\left(v_{2}+v_{2}\right)$",,28,$\mathrm{V}_{\text {separtion }}=\mathrm{v}_{\text {approach }}$,$\mathrm{v}_{\text {separtion }}<\mathrm{v}_{\text {approach }}$,$\mathrm{v}_{\text {separtion }}>\mathrm{v}_{\text {aproach }}$,d) None of these,,,,,1,,,,,,,
How will it effect the KE of an object if its momentum is quadrupled keeping mass constant?,,moderate,"We know that
\[
\mathrm{KE}=\mathrm{P}^{2} / 2 \mathrm{m}
\]
$\mathrm{KE}$ is the Kinetic energy and $\mathrm{P}$ is the momentum
If momentum is quadrupled
\[
\begin{array}{l}
\mathrm{KE}=16 \mathrm{P}^{2} / 2 \mathrm{m} \\
\mathrm{KE}=16 \mathrm{KE}_{\mathrm{old}}
\end{array}
\]",,28,Becomes double,Becomes sixteen times,Becomes half,Becomes one fourth,,,,,2,,,,,,,
If the body moving with velocity 8m/s collide elastically with the body moving with velocity of 4m/s and the target velocity becomes 6m/s after collision then the velocity of incident body will become,,difficult,"We know that
\[
\begin{array}{l}
\left(\mathrm{v}_{1+} \mathrm{v}_{1}\right)=\left(\mathrm{v}_{2}+\mathrm{v}_{2}\right) \\
\mathrm{v}_{1}'=-\mathrm{v}_{1+} \mathrm{v}_{2}'+\mathrm{v}_{2} \\
\mathrm{v}_{1}=-8+4+6=2 \mathrm{m} / \mathrm{s}
\end{array}
\]",,28,4m/s,2m/s,3m/s,1m/s,,,,,2,,,,,,,
In an elastic collision what is conserved?,,easy,"In elastic collision both KE, Total energy, Energy, Momentum should be conserved.",,28,Energy,Total energy,KE,All,,,,,4,,,,,,,
The path of projectile is,,easy,The path followed by projectile is parabolic,http://d15o1jx56rxevg.cloudfront.net/ecat/physics/p3_Motion_and_force/p3e41.PNG,28,hyperbola,straight line,parabola,ellipse,,,,,2,,,,,,,
Motion of projectile is in ______ dimension,,easy,Motion of projectile is taken in xy plane hence is the 2 dimension motion.,,28,3,2,1,4,,,,,2,,,,,,,
A person can throw a stone to maximum range of 200m. The greatest height with the same conditions to which he can make the stone to rise is,,difficult,"By the given condition
\[
\begin{array}{l}
\mathrm{R}=200=\mathrm{v}_{\mathrm{i}}^{2} \sin 2 \theta / \mathrm{g}=\mathrm{v}_{\mathrm{i}}^{2} / \mathrm{g} \\
\sin 2 \theta=1 \\
\theta=45 \\
\mathrm{h}=\mathrm{v}_{\mathrm{i}}^{2} \sin ^{2} \theta / 2 \mathrm{g} \\
\mathrm{h}=(200)(\sin 45)^{2} / 2 \\
\mathrm{h}=50 \mathrm{m}
\end{array}
\]",,28,50m,150m,100m,25m,,,,,1,,,,,,,
A ball is drop from a train moving with velocity 10m/s. then the motion of ball is according to the observer outside the train,,moderate,According to observer in train the ball will follow a straight line path. But for the observer outside the train it will follow a parabolic path,http://d15o1jx56rxevg.cloudfront.net/ecat/physics/p3_Motion_and_force/p3e44.PNG,28,straight line,parabolic,ellipse,Circular,,,,,2,,,,,,,
Two ball are thrown at angle of ⱺ and (90-ⱺ) with same initial speed. Then the ratio of their time of flight,,difficult,"We know that
\[
\mathrm{t}_{1}=2 \mathrm{v}_{\mathrm{i}} \sin \theta / \mathrm{g}
\]
where v$_{i}$ is the initial velocity $g$ is the gravitational constant
\[
\begin{array}{l}
t_{2}=2 \mathrm{v} \sin (90-\theta) / \mathrm{g} \\
\mathrm{t}_{2}=2 \mathrm{v}_{\mathrm{i}} \operatorname{cos}\theta / \mathrm{g}
\end{array}
\]
By taking the ratio
We get $tan\theta$ : 1",,28,\tan ^{2} \theta: 1,\tan \theta: 1,1:\tan \theta,1:1,,,,,2,,,,,,,
In order to get maximum height then the angle of projection is,,difficult,"We know that
\[
\mathrm{h}=\mathrm{v}_{\mathrm{i}}^{2}\left(\sin ^{2} \theta\right) / 2 \mathrm{g}
\]
where $v_{i}$ is the initial velocity $g$ is the gravitational constant $h$ is the height
in order to have maximum height we must follow the condition
\[
\begin{array}{c}
\sin ^{2} \theta=1 \\
\sin \theta=1 \\
\theta=90
\end{array}
\]",,28,0,60,30,90,,,,,4,,,,,,,
"The ball is thrown with the angle of 30,15 60, 20. Then which pair have same range",,easy,"Range will be same if the sum of the angle is equal to 90
So, 30+60 = 90",,28,"30,60","30,20","60,20","15,30",,,,,1,,,,,,,
The graph between KE and velocity is when KE is taken on y axis and velocity is taken on x axis,,moderate,"We know that
\[
\mathrm{KE}=(1 / 2) \mathrm{mv}^{2}
\]
$\mathrm{KE}$ is the Kinetic energy $\mathrm{m}$ is the mass and $\mathrm{v}$ is the velocity
$\mathrm{KE} \alpha \mathrm{v}^{2}$
So it's a graph of parabola",https://d15o1jx56rxevg.cloudfront.net/ecat/physics/p4_Work_and_energy/p4e1.PNG,29,,,,,http://d15o1jx56rxevg.cloudfront.net/ecat/physics/p3_Motion_and_force/p3q30.1.PNG,http://d15o1jx56rxevg.cloudfront.net/ecat/physics/p4_Work_and_energy/p4q1.2.PNG,http://d15o1jx56rxevg.cloudfront.net/ecat/physics/p4_Work_and_energy/p4q1.3.PNG,http://d15o1jx56rxevg.cloudfront.net/ecat/physics/p3_Motion_and_force/p3q30.2.PNG,3,,,,,,,
"When a force is perpendicular to the direction of motion of the body, then work done on the body is",,easy,"We know that
Work $=\mathrm{F}$.d
$\mathrm{F}$ is the force $\mathrm{d}$ is the displacement
$=\mathrm{Fd} \cos \theta$
Force is perpendicular to d so angle is 90
Work $=\mathrm{Fd} \cos 90=\mathrm{Fd}(0)=0$",,29,zero,minimum,maximum,infinity,,,,,1,,,,,,,
"An elevator weighing $3.5 \times 10^{6} \mathrm{N}$ is raised to a height of $1000 \mathrm{m}$ in the absence of
friction, the work done is",,moderate,"By the formula of work
\[
\mathrm{W}=\mathrm{Fd} \cos \mathrm{o}
\]
$\mathrm{F}$ is the force $\mathrm{d}$ is the displacement
As the displacement of lift is upward and weight acting is downward so the angle
between force and displacement is 0
$\mathrm{W}=3.5 \times 10^{6} \times 1000 \cos 0$
\[
\mathrm{W}=3.5 \times 10^{9} \mathrm{J}
\]",,29,3.5 \times 10^{3} \mathrm{J},3.5 \times 10^{4} \mathrm{J},3.5 \times 10^{9} \mathrm{J},3.5 \times 10^{5} \mathrm{J},,,,,3,,,,,,,
The relation between horse power and watt is,,moderate,"Horse power is the bigger unit of power which is related as
1hp = 746watt
",,29,1hp=546watt,1hp=746watt,1hp=1000watt,1hp=946watt,,,,,2,,,,,,,
The work done if lamp of rating 6W is used to light for 2 minutes,,moderate,"We know that
\[
\mathrm{P}=\mathrm{W} / \mathrm{t}
\]
$P$ is the power $W$ is the work done
$\mathrm{W}=\mathrm{P} \times \mathrm{t}$
$\mathrm{W}=6 \mathrm\times2 \mathrm{min}$
$\mathrm{W}=6 \mathrm\times 2\times60=720 \mathrm{J}$",,29,3J,120J,720J,430J,,,,,3,,,,,,,
The source of geothermal energy is,,easy,"Geo means earth thermal means heat. Geothermal is the heat extracted from earth. So it includes energy from decay of radioactive material, residual heat of earth and heat from compression of material in the earth",,29,decay of radioactive element in the earth,compression of material in the earth, residual heat of earth,"Both A, B and C",,,,,4,,,,,,,
If the velocity of moving body is doubled then,,moderate,"We know that
\[
\mathrm{KE}=(1 / 2) \mathrm{mv}^{2}
\]
KE is the Kinetic energy
So now the velocity is doubled
$\mathrm{KE}=(1 / 2) \mathrm{m}(2 \mathrm{v})^{2}$
$\mathrm{KE}=(1 / 2) \mathrm{mv}^{2}(4)$
$\mathrm{KE}_{\text {new }}=4 \mathrm{KE}_{\text {old }}$",,29,KE becomes 4 times," KE becomes 2 times",KE remain same,None,,,,,1,,,,,,,
The relation between velocity and radius in the equation of escape velocity,,moderate,"The escape velocity is given by
\[
\left.V_{\text {escape }}=\sqrt{(} 2 G M / R\right)
\]
$\mathrm{G}$ is the gravitational constant $\mathrm{R}$ is the radius $\mathrm{M}$ is the mass
So from the here we can see that
$V_{\text {escape }} \alpha R^{-1 / 2}$",,29,v \alpha R,v \alpha R^{1 / 2},v \alpha R^{ 2},v \alpha R^{-1 / 2},,,,,4,,,,,,,
"Kinetic energy of body of mass $\mathrm{m}$ moving with the velocity of $10 \mathrm{ms}^{-1}$ is $30 \mathrm{J}$. If the
velocity is changes to new value of $30 \mathrm{ms}^{-1}$. Then the KE becomes",,difficult,"We know that
$\mathrm{KE}_{\mathrm{old}}=(1 / 2) \mathrm{m} \mathrm{v}_{1}$
KE is the Kinetic energy
$30=(1 / 2) \mathrm{m}(10)$
$30 / 5=\mathrm{m}$
$\mathrm{m}=6 \mathrm{kg}$
$\mathrm{KE}_{\mathrm{new}}=(1 / 2) \mathrm{m} \mathrm{v}_{1}$
$\mathrm{KE}_{\mathrm{new}}=(1 / 2)(6)(30)$
$\mathrm{KE}_{\mathrm{new}}=90$ Joule",,29,10J,90J,270J,180J,,,,,3,,,,,,,
 When proton are brought close to another proton then the energy is stored in the form of,,moderate,Potential energy is the energy stored due to the position. When protons are brought close we know that they will repel each other and the energy stored in potential energy.,,29,potential energy,kinetic energy,mechanical energy,None,,,,,1,,,,,,,
 A car moves up the hill and reached at a height of 20m from the ground. The force of 500N is consumed in this activity. Then the potential energy stored in the car is,,difficult,"We know that
\[
\mathrm{PE}=\mathrm{mgh}
\]
PE is the potential energy
$\mathrm{PE}=\mathrm{W}=\mathrm{Fd}$
$\mathrm{Fd}=\mathrm{PE}$
$\mathrm{PE}=500 \times 20=10000 \mathrm{N}$",,29,10000J,100J,1000J,500 \times 9.8 \mathrm{J},,,,,1,,,,,,,
Work done in moving a body of mass m at a height h inclined at an angle  $\theta$,https://d15o1jx56rxevg.cloudfront.net/ecat/physics/p4_Work_and_energy/p4q12.PNG,moderate,"We know that
Work done = KE + PE
KE =0
Work done = PE
Work = mgh
",,29,mgh,\mathrm{mg}{\left.\sqrt{}( \mathrm{h}^{2}-\mathrm{l}^{2}\right)},$mghcos\theta$,$mghsin\theta$,,,,,1,,,,,,,
A boat is moving with velocity v facing drag frictional force F. What will be the power develop by the boat?,,difficult,"We know that
Power $=$ Work $/ \mathrm{t}$
Also work $=\mathrm{Fd}$
Power $=\mathrm{Fd} / \mathrm{t}$
Also $\mathrm{v}=\mathrm{d} / \mathrm{t}$
Power $=\mathrm{Fv}$",,29,(1 / 2) \mathrm{Fv},(1 / 2) \mathrm{Fv}^{2},\mathrm{Fv}^{2},Fv,,,,,4,,,,,,,
The cell that converts solar energy into electrical energy,,easy,In the photoelectric cell when the light is incident the electrons and holes are produced so it tends to increase the potential difference. In that manner solar energy is converted into electric energy by photovoltaic cell,,29,rotatory,photovoltaic,galvanic,none,,,,,2,,,,,,,
Mark the one which have largest value of kinetic energy,,easy,"Find KE for eery option,
For option $\mathrm{C}$
$\mathrm{KE}=(1 / 2) \mathrm{mv}^{2}$
\[
\begin{array}{l}
\mathrm{KE}=(1 / 2) 2 \mathrm{M}\left(9 \mathrm{v}^{2}\right) \\
\mathrm{KE}=9 \mathrm{Mv}^{2}
\end{array}
\]
For option $A$
$\mathrm{KE}=(1 / 2) \mathrm{mv}^{2}$
$\mathrm{KE}=(1 / 2) 2 \mathrm{M}\left(\mathrm{v}^{2}\right)$
$\mathrm{KE}=\mathrm{Mv}^{2}$
For option $\mathrm{B}$
$\mathrm{KE}=(1 / 2) \mathrm{mv}^{2}$
$\mathrm{KE}=(1 / 2) 3 \mathrm{M}\left(\mathrm{v}^{2}\right)$
$\mathrm{KE}=(3 / 2) \mathrm{Mv}^{2}$
For option $\mathrm{D}$
$\mathrm{KE}=(1 / 2) \mathrm{mv}^{2}$
$\mathrm{KE}=(1 / 2) \mathrm{M}\left(16 \mathrm{v}^{2}\right)$
$\mathrm{KE}=8 \mathrm{Mv}^{2}$",,29,"2M,v","3M,v","2M, 3v","M, 4v",,,,,3,,,,,,,
 The source of tidal energy is,,easy,"Tidal energy is the energy produced by tides of oceans, rivers etc. Tides are caused by the gravitational attraction of the moon as it orbits the Earth.",,29,Sun,Moon,Earth,none,,,,,2,,,,,,,
Work done in moving a body from position 0meter to position 35meter is,https://d15o1jx56rxevg.cloudfront.net/ecat/physics/p4_Work_and_energy/p4q17.PNG,difficult,"We know that
Work done $=$ area under the force displacement curve
Work done $=$ Area of 1 triangle $+$ Area of square $+$ area of triangle 2
Work done $=(1 / 2)(10)(10)+(15)(10)+(1 / 2)(10)(10)$
Work done $=250$ Joule",,29,25J,250J,200J,50J,,,,,2,,,,,,,
